data,question,answer
2020.09.24. ," lTQ , GTQ 자격증이 중학생도 취득가능하다고 해서 이거 한번 따보려고 하는데 어떤식으로 공부해야 하는지 알려주세요 ㅜㅜ 제가 자격증 따는건 좋아하는데 이쪽 자격증은... ", 답변 안녕하세요질문자님. OA 자격증 관련 질문 남겨주셔서 답변남깁니다. OA 관련해서도움받을수있는 학원의 간략한 설명과 도움받으실수있는 링크 남겨드리겠습니다. 제가... 
7일 전 , 이번에 2차 재난지원금 시작했는데 중학생 15만원 지급된다고 확정 되었잔아요.... 긴급재난지원금 2차 중학생 지원비 압류방지 통장 가능한지 알려주십시오. ," 답변 안내문상 학생지원금은 스쿨뱅킹 원칙입니다 하지만 따로 되냐 문의전화로 문의바랍니다. < > 위는 2차 재난지원금 가장 정확한 안내 입니다.(최신) = 신청기간, 신청사이트... "
2019.12.08. ," 중학생이 된다고 해서 그런지 공부나 학교생활에 관한 궁금증이 많은데요, 질문이 많더라도 성실하게 답변 해주셨음 합니다..! [ 공부 관련 ] Q : 중학교 올라가고 치는... ", 답변 수학이였습니다 (질문자님은 잘하시면 잘 모르겠고 나머지는 거의 다 평이할거에요) [ 학교생활 관련 ] Q : 보통 선배들을 만나면 잘 모르는 선배여도 다 인사를 하고... 
2018.07.24. ," 목요일에 ( 지금은 화요일 ) 수영장을 가는데 , 피임약을 먹어서 늦추려 하거든요 ?? ㅜㅠ 중학생이 혼자 약국에 가서 약을 사도 처방해주나요 ?? 부모님이랑 가야되나요 ? ", 답변 중학생이 혼자 약국에 가서 약을 사도 처방해주나요 ?? 부모님이랑 가야되나요 ? 혼자 약국에 가서 살 수도 있는데 경구 피임약 성분은 대체로 비슷하지만 제조사마다... 
2017.06.23. ," 예비중학생이라면 누구나 다 하는 질문 있잖아요??ㅎㅎ 1)중학생 필수품(최대한 많고, 자세하게 해주세용!) 2)반배정시험...(:이렇거 아직두 보나요?? 3)그외... 그냥 그외... "," 답변 안녕 나 중1여자 언니야 말 놓을게 ㅎ 1)중학생 필수품(최대한 많고, 자세하게 해주세용!) 음....우선 학교 처음이니까 메모할 노트랑 그냥 노트2갸정도??스프링으로 ㅎ 그리고... "
2020.06.18. , 안녕하세요 중3 인천사는 중학생입니다 다름이 아니라 저희 어머니가 되게 코로나에 예민하셔가지고 질문드립니다 ... 지금 시험이 한달 남아있고 제가 공부 잘하는편이... , 답변 혹시 모르니 집에 박혀 있는게 좋죠.. 집에서 공부하세요 공부 못하는 탓하지말고 
2008.01.27. , 올해 중학생이 되는 예비 중학생이라고 합니다. 다름이 아니라 질문 몇가지 드리고자 오랜만에 지식인에 발걸음을 들이게 되었는데요. 성실하고 좋은 답변 해주신다면... ," 답변 (아는 선배들이 중학생 되면 다들 놀 시간이 없다고 하시길래 질문합니다.) 중학생이 되면 일단 과목수가 많아지고,학원도 다니고 시험에 시달리게 됩니다.방학 빼구요... "
2006.12.18. ," 중학생이 되는데. 궁금한 게 있어서 말이죠..; 질문을 하는데, 답변 부탁드리겟씁니다. 질문이 기니까. 내공 제거 최대로.;; 내공이 없어서 10 드립니다;; 1. 제가 갈 학교가... "," 답변 이번에 중학생이 되기 전, 부모님께서 아디다스, 퓨마... 중학생 되면 폰을 다들 좋은거 쓴다든데;; 제가 쓰는거... 8.중학생 되면 대부분 용돈 한달에 얼마정도 씩 받나요?... "
2020.03.22. , 제가 중학생 인데 문제가 되는줄 모르고 아청법 위반 영상인지 는 모르겠지만 많이 보았는데 얼마나 기다려야 안심할수있나요? 그리고 만약 아청법 위반 영상이면 어떡하나요? , 답변 나이 어리면 용서는 되니 너무 걱정할 것은 없습니다. 절대 몰랐다고 하면 선처는 가능합니다. 중학생이면 처벌 받을 수도 있는 나이가 되었으니 봐서는 안 됩니다. 
2018.01.21. , 어쨌든 질문!!! 1.중학생 분들 스타킹 신으실때 제모를 하시고 신으시나요? 2.여름때는 스타킹을 신을건데 신는 분들이있나요?(중1기준) 3.스타킹 신고 양말을 신어야... , 답변 안녕하세요 ~ 곧 중학교 3학년 되는 학생이에요 저도 질문자님이랑 똑같이 털 때문에 문제였어요 그래서 지금까지 저도 스타킹 절때 안 벗고 있습니다 1. 중학생 분들 스타킹... 
2019.09.21. , 제가 공기계를 사려는데요 질문 드릴게요 1.중학생 혼자서 아무것도 없이 돈만내고 사와도 되나요? 2.삼성디지털플라자 같은곳 에서 사면 추가요금 없이 살수있나요? 3.... , 답변 1. 미성년자 혼자가면 안팔겁니다. (미성년에게 팔았다가 부모가 와서 환불해달라고하는경우 많음) 2. 네 3. 포인트할인이나 카드할인등 행사 자주합니다. 
2008.08.16. , 안녕하세요 아직 6학년이지만 반년만 더 있으면 중학생이 되는 학생입니다 여름방학도 끝나가고 그래서 질문올려봅니다 뭔가 친구사귀기도 어려울것같고 그래서요ㅠㅠ... ," 답변 이미 중학생으로써 겨우 적응한 한 중 1 학생입니다. 01. 중학생때 준비할것 또... 우선 입학식때는 서로 가볍게 인사해주시구요, '너 어느 초등학교 졸업했어?' 이정도 질문으... "
2020.06.14. , 중학생은 예습이랑 복습 해야하나요?? 2. 저희반에 초등떄 학원 많이다녀서 거의 전교1등수준?있었는데 그런애들 몇%쯤 공불 계속 잘하나요? 3. 보통 7시학원갈때... , 답변 중2로서 답변해드리자면 1.네 안하면 시험 말아먹기 ㅆㄱㄴ입니다. 2.그건 다 다르죠.근데 빡세게 선행한 애들 따라잡으려면 진짜 열심히 하셔야 합니다. 3.그건... 
2014.01.25. , 제가요번에 미국 라스베가스로 유학을가게되는데요 지금 미국 중학생들을 잘몰라서... 질문답변좀잘해주세요ㅠㅠㅠㅠㅠ\ 1.거기 미국 중학생한1학년?들은 어떤... , 답변 제가요번에 미국 라스베가스로 유학을가게되는데요 지금 미국 중학생들을 잘몰라서... 질문답변좀잘해주세요ㅠㅠㅠㅠㅠ\ 1.거기 미국 중학생한1학년?들은 어떤... 
2007.11.24. , 맨 처음에 친구한테 어떻게 다가가야 하나요?( 좀 소심한 편) 5.예비중학생에게 충고/조언 부탁드립니다! 음...적은 내공+감사내공 드릴게요.. 부탁드립니다! # 질문에... , 답변 2.중학생되면 기본 필기류로 무엇을 가지고 다녀야 하나요? 전 중학생이 되자마자... 과목마다 공책 사시면 분명 후회하시니깐 우선 첫수업을 듣고 선생님께 질문을 하거나... 
2010.02.15. , 많아서 질문 올리려고 합니다 ~ 1. 신발사려고 하는데 어떤게 좋을까요?? 2.중학생때 비비 쓰면 찍히나요? 3.커피색스타킹은 언제 신어야되나요? 4.반스타킹은 안되나요... , 답변 2.중학생때 비비 쓰면 찍히나요? 보니까 언니들한테 찍힌다는걸 강하게... 근데 이제 중학생이니 알아서 해야죠^^? 4.반스타킹은 안되나요 -_- ;; (신을수 있다면 언제... 
2007.12.29. , 이제 곧 중학생이 되는 예비중학생입니다! 예비중학생이 되기 전에 궁금한게 너무... 어색함 없앨 방법좀..] 질문이 많아졌네요 ㅠ_ㅜ 내공30걸어요!! 성의있게... , 답변 중학생 되서 공부 잘하는법 [학원다니는거 안좋아해요. 혼자 공부하는 방법..] 우선... 중학생 문제집 추천. [예비중학생 문제집 말고요! ] 저는 완자쓰고있습니다!... 
2007.12.27. , 질문하겠습니당 ㅠㅠㅠㅠㅠ 1. 중학생때 교복을사잖아요. 제일 좋은 매장이 어디일까요? 2 . 중학생때 사복 입을일이 많아요???? 3. 제가머리 길이가 어깨 좀 내려오는데... , 답변 중학생때 교복을사잖아요. 제일 좋은 매장이... 중학생때 사복 입을일이 많아요???? 많다기보다는;; 항상... 머리가 중학생때 하고 다니기 좋을까요?(사진첨부 해주시면... 
2007.02.12. ," 예비 중학생이 몇가지 질문을 하려고 합니다.^^ 선배님들, 성심 성의껏 답해주세요 ~ 1) 제가 어제 문제집을 샀거든요. 근데 돈이 좀 모자라는 관계로 많이 사지는 못했구요.... "," 답변 저도 예비중학생입니다. 선배가 아니라서,. 하지만 제언니들이있기에... 중학생이된다니참설레기도하고 기분이좋기도......(주절주절) 하하 !! 너무 흥분한나머지 내용이... "
2009.12.22. ," 저는 곧 중학생이될 여자인데,, 중학교에 대해서 잘 모르거든요. 그래서 여러가지 질문을 올립니다. 1.중학교에 처음에 갔을때는 뭐하나요? 2.반배치고사는... ", 답변 처음간날 선생님마다 다른데요 중학교는 담임선생님이 있긴있는데 초등학교와달리 그다지 큰 영향이 없어요 중학생들은 교과과목마다 선생님들이 각각 있기 때문에... 
2013.03.01. , 제가1학년때는 그냥 살았는데 2학년 되니까 잘생겨지고 싶고도 하고 키고 크고 싶고요 제가 키가 좀 작아서 여러가지 질문좀할게요 1.중학생필수품은? 2.잘생겨 지는... ," 답변 중학생 필수품은 당연히 백팩과 실내화가 있구요, 때에 맞춰 체육복 그리고 학교준비물 클리어화일 한두개는 기본이고 공부할 교과서 (사물함이면 상관없구요!) 필통에... "
2009.02.25. , 밑에질문 답변부탁드려요~ 참고로 전 여학생입니다~^^ 1.다리털많은사람은 어떡해하나요??? 2.어떡해해야지 선배들한테 안찍히나요???(찌질이는싫고요...) 3.중학생때... ," 답변 중학생때 필수로 공부 열심히 하고.. 학업은 나중에 어떻게 해도 못 고치니깐.. 친구들이랑 싸우지 말고, 고루고루 친하게 지내시고.. 샛길로 빠지지 마시고...... "
2018.03.11. , 내공냠냠 신고합니다 ❢ 1. 제가 키가 146~7 정도에요 몸무게는 40 이에요 ! 중학생 대부분 키.몸무게/지금 제 키 정상체중 알려주세요 ♡ ," 답변 중학생들의 정상 체중을 따지는것은 너무 광범위한 일이네요 자신의 정상 체중은, 자신의 키에서 100을 빼고 0.9를 곱하면 됩니다. "
2007.01.04. , 저는 이제 07년도에 중학교를 들어가는 예비중학생입니다. 지식iN에 질문을 많이 해보았지만 이렇다할 답변이 몇개 안돼 이렇게 다시 질문을 올립니다. 1. 저는 2월 2일에... ," 답변 마지막으로 하고싶은말이나 예비중학생인 저에게 조언한마디 부탁드립니다. 중학교생활 열심히하시구요, 초등학교졸업축하드려요~ 그리고 공부잘하실것같은데... "
2009.01.15. , 안녕하세요~ 전 이제 중학생이되는데 궁금한게 너무 많아서! 질문올려요! 내공20걸어요! 1.교복스마트에서맞출건데스마트좋아요? 2.스마트사은품뭐에요?(지역마다... , 답변 안녕하세요 ^^ 저도 이번에 중학교 올라가는 예비 중학생입니다. 그럼 답변들어갑니다.... 5.중학생되서저혼자공부하거든요과목별로문제집출판사좀가르켜주세요! 그리고... 
2020.09.23. , 중2이고 과외가 하고싶은데 아는게 없어서 질문합니다 제발 광고 홍보는 하지말아주세요 1. 주변에 인맥이 없는데 과외선생님은 어떻게 구하나요? 사이트나 앱으로 하면... , 답변 우선 제가 수업중인 과외로 기준으로 해서 중학생 과외 질문에 답해드릴께요~ 1. 주변에 인맥이 없는데 과외선생님은 어떻게 구하나요? 사이트나 앱으로 하면 좋을거... 
2006.03.01. , 2006년3월2일에입학하는 예비중학생인데요^^ 1. 제가 키가 150 쫌 안되는데요..... 또 좋은 친구를 구별(?) 할수 있는 방법도 알려주세요^^ 이상 저의 질문이었습니다^_^♡ , 답변 - 중학생이 된다는 것에 많이 설레고 긴장이 되시나봐요 ㅎ 그래도 미리준비하는... 중학생이 되시긴 했지만 그래도 동갑들이잖아요 ~ 뭐 아는사람이 필요할수도 있지만... 
2020.01.17. , 1.필기해야할 과목 갯수 2.필깆잘하는법 3.필수템 내공 50 이요 ," 답변 중학생 이시면 요즘 많이 하는 엠베스트 라는 인강해보세요 . 개인 맞춤형인강 이여서 부족하신 부분 집중적으로 공부할수 있어서 좋고 , 체계적으로 알려주기... "
2010.02.26. , 안녕하세요.지식인 ㅇ ㅕ러분들ㅎㅎ이제 예비 중학생이 되는 &&&입니닷ㅎㅎ 내공많이드릴테니깐 답변정성껏 해주셔야해용!ㅎㅎ질문들어갑니닷ㅎ헤헤 긹어도 끝까지... , 답변 학원은 돈을내고 다니기때문에 좋지않다면 바로바꾸는게 제일좋아요 3.중학생 되면... 패스 8.중학생들 몇시에 등교하나요? 8시 10분까지?? 음 저희학교는 30분까진데... 
2006.08.26. , 밤 몆시까지......중학생에 대해서 자세히 가르쳐주세요 ---------------------------------------------------------------------------------------------------------- 좀 질문이 많죠...??? 중학생이... , 답변 선생님이 준비해오라는것만 준비해오면되요~ 문제집관련된 질문은 답변해드리기가어려워요 ㅠㅠ 워낙공부를안해서....-_- 정말죄송하구요 보통중학생들 저같은경우에는... 
2020.08.10. , 알아보니 중학생 코딩교육이라고 있더라구요 근데 제가 이쪽은 아는게 전혀 없어서요 중학생 코딩교육 시켜도 좋을까요 학원 그냥 보내는게 나을까요 중학생 코딩교육... , 답변 중학생 어머니가 직접 질문을 주셨네요. 안녕하세요 it진로 컨설팅 전문가 ITcoaching 입니다. 먼저 아드님이 컴퓨터나 드론 같은 기기를 좋아하시는거 같네요. 중학생... 
2007.01.01. , 이제 곧 중학생이 되는 예비 중학생입니다 - (여자입니다 (탕) 그러다 보니 워낙 호기심과 기대감이 많아졌어요! 그래서 결국 질문까지 올립니다. ! 좋은 답변 부탁드릴께요... ," 답변 다니지 말고 혼자 독학하면서 자신만의 공부 스타일 만들어 가세요, 그게 더 나아요, 공부잘하시니까, 괜찮을거예요, 아, 정 공부가 안된다면 중학생 '완자' 추천합니다. "
2014.02.22. , 제가 중학생 들어가는데 아는게 없어서ㅠ 질문에 답좀 해주세요! 1.중학생 들어가면 화장을 아예 못하나요? 2.공책은 과목별로 다 준비해야하나요? 3.스프링공책이... , 답변 중학생이라고 해봐야 초등학생이랑 큰차이 없어요. 한학년 올라간다고 특별히 꼭 필요한 필수품 같은게 생길리가 7. 저희학교는 혁신학교라고 해서.. 실험같은걸... 
2005.01.11. ," 2005 년도, 그러니까 약 2달만 있으면 중학교에 입학할 예비중학생 입니다. 중학교에... [질문의 요점은, 중학교 들어갈 때 머리색과 머리 스타일과 가격] {답변주실때... "," 답변 ＃중학생들이 잘 하는 머리는 뭐가 있을까요? 제가 가게 될 학교는, 블루블랙,흑갈색... [질문의 요점은, 중학교 들어갈 때 머리색과 머리 스타일과 가격] {답변주실때... "
2005.08.26. , 안녕하세요 예비 중학생입니다. 1)중학교 가면 선도부... 7)중학생되면 필통을 어떤스타일 그리고 샤프는 몇자루?... 10)중학생이 되면 좋은점과 나쁜점 11)재일 아래 이머리... , 답변 7)중학생되면 필통을 어떤스타일 그리고 샤프는... 10)중학생이 되면 좋은점과 나쁜점 음..좋은점은.. 옷걱정을... 그리고 무슨 벌 주고 중학생 선생님들 벌주는 방법 다... 
2006.01.05. , 안녕하세요^^ 예비 6학년인 아이입니다.^^** 너무 마음이 설레고 그래서 질문좀 하겠습니당~. 1. 중학생때 준비해야할 것!! 사소한것두 포함요 모 공책은 몇권 가방은 모... , 답변 1- 중학생때 준비해야할 것 -가방 가격대: 50000~70000원이상 가방은아디다스... 그러니까 다음질문으로 넘어갈게요~ ★교복딱~맞는거사세요.... 
2018.02.03. , 안녕하세요:) 이번에 중학생되는 대전 학생 인데요(??) 잘 모르는게 있어서 질문하려구 하는데 이상하거나 이해안되는 질문은 답변 안해주셔도 되요!! 1. 저는 교복을... , 답변 1. 교복은 그냥 편하신대로 입으면 되용 2. 선도부는 저희학교는 2학년부터 심사해서 뽑아요 막 심각한 그런 면접은 아니구요 ㅋㅋ 선도부는 차림이 불량하면 고치도록... 
2007.12.28. , 안녕하세요 처음으로 내공 100걸고 질문하네요 주저리 치우고 시작하겟습니다 저는 육학년 여학생입니다 곧 중학생이 되지요 하지만 저는 지금 친구관게가 무쟈게 나쁩니다... , 답변 책점팬이 중학생땐 많이 필요하니.. 필통은 큰걸로 준비.. ^^ 4.방학동안풀문제집... 그게 제일 좋다고 항상 추천합니다....^^ 6.중학생활잘하는법 친구 많이 사귀면 저절로... 
2012.08.21. , 저는 이제 조금있음 중학생이 되는 초6여자입니당 다름이 아니라 예비 중학생의 대해 질문좀 하려고요 ㅎㅎ 질문시작!! 1치마 통을 H라인으로 줄이고 싶은데.. 그렇게... , 답변 6.중학생 되서 친구들 많이 사귀는방법 - 언제나 새학기가 되면 친구걱정을 하는게... 우리반에 찐따는 좀 명령을 많이해서 찐따됬고여 또 너무 질문을 많이해서 찐따... 
2007.02.02. , 이제 예비중학생인 여학생입니다. 제가 안양시 부안중학교로 입학하게되는데 궁금한게 많아서 물어봅니다. 1.교복은 빨리빨리 살껀데 입학식날입고 가나요?? 아니면 입학식... , 답변 아주 막 공부를 억지로 강요는 못하죠..~ 중학생이 되신걸 진심으로 축하드립니다.^^ 좋은 성적 거두시고요~ 즐거운 중학생활 하시길 바랍니다~ 
2007.11.27. , 아..저 내년에 중학생되는 예비중학생인데요. 임시소집일이 뭐에요? 또 반 배치고사 이런거 보나요? 내년부터 안본다는 말도 있던데.. 확실하게 알고 싶구요. 임시소집일날은... , 답변 중학생 입학으로 기대도 되시고 떨리시겠네요 중학교생활 걱정하시지 마시구 답변들어갑니다! 임시소집일이 뭔가요? -임시소집일은요 배정받은 중학교에 가셔서 그... 
2007.10.27. ," 2008년도에 중학생이되는,예비중학생입니다^^; 질문을 몇가지할께요~;성실히 답변해드리는분께 감사내공까지 드리겠습니다♥ 1.내신이있다는데,그 내신이 몇점인지 자신이... ", 답변 고등학교를 들어가기위한 점수 관리>?라고 생각하심됌 중학생이돼시는 님을볼때 ㅎ 1학년 2학년 3학년 시험 본 모든 점수 저때는 (1학년 20% 2학년 30% 3학년 50% 엿을꺼에요... 
2006.12.13. , 전이제중학생이되는학생입니다. 제가궁금한게잇어요. 1)제가ANGUS신발을신는데요.... 마지막으로중학생되서않해야될짓이나 선배들한테찍히지않은방법요. , 답변 개그 프로그램 보면서 웃긴거 따라하시면 애들이 웃기다고 좋아해요 마지막으로중학생되서않해야될짓이나 선배들한테찍히지않은방법요. 일단 쳐다보지 마세요 튀는... 
2019.08.13. , 중학생 되면 몇시에 학교끝나요? , 답변 4시요 
2019.06.08. ," 7 중학생이 쓰기 적당하고 아니면 중학생이 쓰기좋은 노트북 삼성,lg 에서 추천좀 해주세요 110만원 이하로요 그리고 15인치가... ", 답변 질문 : 중학생 노트북 질문 답변 : HP 255 G7-6WW80PA (SSD 256GB) (39만원대) AMD / 라이젠 3 / 레이븐 릿지 / 2200U 2.5GHz(3.4GHz) / 듀얼 코어 / 39.62cm(15.... 
2008.09.09. ," 이제 한학기만 지나면 중학생이 되는 한 소녀입니다 제가 진짜 아무것도 모르거든요...... 1번질문이 제일 중요하구요 그다음에 3,4번 질문도 중요합니다. 그렇다고 다른질문... "," 답변 (미용실가서 중학생인데 예쁘게해주세요 하면 해줄거예요) 두발제한 없어도 머리 하고다니면 쌤들 좋게 안봅니다 2.교복을 줄여입으면 찍힌다는 말이 있던데요, 그럼 한... "
2020.09.11. , 저는 중학생 1학년입니다. 일단 질문을 시작하기 앞서 전 술을 마신적이 있습니다 우울할때마다 혼자 마셨습니다 지금까지 합쳐서 총 3~4병은 마신것 같습니다 지금은 제가... , 답변 병원부터 들리시는게 나으시지 않을까요?.. 무서우시면 가만히계시지말구 썸띵두잇 
2019.02.21. , 저는 예비중학생입니다 제가 고양시에 있는 백양중이 됬는데 궁금한게 너무 많아여 질문 1.백양중학교 입학할때 교복입나요? 사복입나요? 2.백양중에서 학생들 급식은... , 답변 4.몇년전에 백양중학생들이 담배를 절반이상 피운다고 했는데 지금도 그러나요?... 마지막 질문인데 스타킹에 관한 질문이에요 스타킹은 주로 어떤거입고 겨울이랑 봄... 
2009.02.25. , 안녕하세요^^ 올해로 중학생이 되는 여학생인데여ㅎ 제가요 이제 중학생이 되면서 궁금한것두 많아지구그래서여^^ 질문 할게요^^ 1. 중학생때는 키 작아서 왕따도 당하고... , 답변 솔직히 키작다고 따당하는거 그런거 생각도 마시고요 ㅋㅋ 진짜 중학생이시네요... 3번질문은 뭐 장난하시나 그냥 님꼴리시는대로 입으면 되는거죠 ㅋㅋ 4 자물쇠 .. 저가... 
2015.04.27. , 중학생 2학년 학생인데요 궁금한게 많아서 글을올립니다 1. 제가 중학생 2학년인데도... ( 키 166 몸무게 52) 진짜 저는 진지하게 질문드립니다 성실하고 빠른답변... ," 답변 안녕하세요. 청소년사이버상담샌터입니다. 비공개님 글 잘 읽어보았어요. 중학교 2학년인데 사춘기가 안와서 비정상인건지, 어깨를 키우면 키가 안 크는건지 궁금한... "
2008.02.04. ," 1년후면 중학생이되는 초등학생인데요.(여자에요) 몇가지 걱정되는것과 궁금한게... 5.선배들이 막 후배들 잘 밟고 그러나요?ㅠㅠ 6.특별질문인데요, 그냥 매일 밥만... "," 답변 ㅠㅠ -선배들눈에안거슬리기만하면됩니다^^중학생선배들은무섭던데... 그냥요... 특별질문인데요, 그냥 매일 밥만 먹으면 살이빠지나요?아니면 그대로 일까요? 만약... "
2018.12.05. , 중학생 교근축소술 질문 (내공 100) 중 1 여자입니다 ! 사각턱이 있고 교근도 발달이 엄청 됏어요 어릴때부터 껌씹는걸 무척 좋아하고 플라스틱조각 씹는것도 엄청 좋아했어요... , 답변 중학생이시면 교근축소술을 받으시는 건 권해 드리지 않습니다. 만약 하실 거라면 성장이 모두 완료된 성인 이후 받으시는 게 좋습니다. 턱 근육에 통증을 느끼고 있는... 
2006.02.12. , 저는 올해 중학교에 입학하는 예비 중학생 입니다. 인천 서구 간재울중에 배정... @*네번째 가장 중요한 질문!!!*@ 공부 비법(노하우)을 전수 해 주세요!!!!! 제가 이런 질문을... , 답변 있는 중학생이시니 ebs 강츄!!! 가격도 저렴할 뿐더러 따로 문제집 하지 않아도 되고..... 그리고 질문 열심히 하시고 공부를 잘하는 아이들과 친하게 지내세요 이건 정말... 
2010.02.13. , 그럼 질문 입니다 1) 제가 초등학교때 귀에다가 2개씩 귀걸이를 했는데요 중학생때 귀걸이를 하면 않된다는건 알고있는데 제귀가 아직않막혀서 중학생때도 귀걸이를... ," 답변 님 질문 보시면거의다 (언니 오빠들이 하고 다닌다는데) 거봐요. 아니 당연히 중3들이 짬밥이 생겨서 그런 짓 하고 다니지, 중1입학하자마자 그런짓 하면 선생님한테... "
2008.01.17. ," 이제곧중학생이되는예비중학생6 학년여학생입니다ㅇㅇ 중학교들어가는데, 초조하기도하고, 기대되기도하고, 궁금하기도하고해서 지식인에글올릴게여ㅇㅇ 질문이좀... ", 답변 실내화가방가지고다닐까요.......<참한심한질문. ㅋㅋ1학년때 전부 실내화가방 가지고 다니는데요 3학년되서 생각해보면 아침마다 등교길을 실내화가방 가지고... 
2012.12.01. , 저는 이번에 중학생이 되는 13살 여자 인데요. 궁금한건 많은데 누구한테 물어봐야 될지 몰라서 이렇게 질문을 합니다~ (바로 질문 들어가용ㅎ) 1.예비 소집일 인가??그 때도... , 답변 중학생이 되셨군요~. 정겨운 교정을 떠나는 마음은 섭섭하지만 새로운 환경에서 공부한다는 설레임도 함께할 것입니다. 1. 예비 소집일은 말 그대로 '예비'소집일입니다... 
2013.11.04. , 내년이면 중학생이 되는 13살 예비 중학생입니다!! 잡소리 집어 치우고 본론... 2.중학생 필수품은 뭐가 있을까요? 3.제가 낯을 좀 가려서 쉽게 친구들이랑 친해지는 방법... , 답변 안녕하세요~질문자님 여자분인신것같은데 현재 느리울중 재학중인 언니에요.... 2.중학생 필수품이라...저도 처음 입학하기전에 궁금해서 막 이것저것 찾아보고 그랬는데... 
